Andhra Pradesh,"49,577,103.00"
Bihar,"104,099,452.00"
Chhattisgarh,"25,545,198.00"
Delhi,"16,787,941.00"
Gujarat,"60,439,692.00"
Haryana,"25,351,462.00"
Himachal Pradesh,"6,864,602.00"
Karnataka,"61,095,297.00"
Kerala,"33,406,061.00"
Madhya Pradesh,"72,626,809.00"
Maharashtra,"112,374,333.00"
Odisha,"41,974,218.00"
 Puducherry,"1,247,953.00"
Punjab,"27,743,338.00"
Rajasthan,"68,548,437.00"
Tamil Nadu,"72,147,030.00"
Telengana,"35,003,674.00"
Chandigarh,"1,055,450.00"
Jammu and Kashmir,"12,267,032.00"
Ladakh,"274,000.00"
Uttar Pradesh,"199,812,341.00"
Uttarakhand,"10,086,292.00"
West Bengal,"91,276,115.00"
